Team,Year,Total,Home,Away
Arizona Cardinals,2015,"1,028,446","513,487","514,959"
Atlanta Falcons,2015,"1,134,671","562,845","571,826"
Baltimore Ravens,2015,"1,083,919","568,018","515,901"
Buffalo Bills,2015,"1,140,809","559,047","581,762"
Carolina Panthers,2015,"1,157,689","592,454","565,235"
Chicago Bears,2015,"1,020,065","496,287","523,778"
Cincinnati Bengals,2015,"1,028,118","491,118","537,000"
Cleveland Browns,2015,"1,062,262","529,488","532,774"
Dallas Cowboys,2015,"1,312,509","731,672","580,837"
Denver Broncos,2015,"1,141,878","615,381","526,497"
Detroit Lions,2015,"1,025,745","490,782","534,963"
Green Bay Packers,2015,"1,147,786","627,308","520,478"
Houston Texans,2015,"1,098,814","574,159","524,655"
Indianapolis Colts,2015,"1,067,476","528,381","539,095"
Jacksonville Jaguars,2015,"1,056,511","514,268","542,243"
Kansas City Chiefs,2015,"1,130,807","602,228","528,579"
Miami Dolphins,2015,"1,093,320","537,548","555,772"
Minnesota Vikings,2015,"958,016","419,440","538,576"
New England Patriots,2015,"1,136,287","534,632","601,655"
New Orleans Saints,2015,"1,135,027","584,305","550,722"
New York Giants,2015,"1,198,163","632,011","566,152"
New York Jets,2015,"1,207,646","625,280","582,366"
Las Vegas Raiders,2015,"970,514","436,397","534,117"
Philadelphia Eagles,2015,"1,154,629","555,868","598,761"
Pittsburgh Steelers,2015,"1,050,712","514,854","535,858"
Los Angeles Chargers,2015,"1,056,457","534,180","522,277"
San Francisco 49ers,2015,"1,082,259","566,092","516,167"
Seattle Seahawks,2015,"1,097,931","552,162","545,769"
Los Angeles Rams,2015,"957,670","419,220","538,450"
Tampa Bay Buccaneers,2015,"1,041,376","492,460","548,916"
Tennessee Titans,2015,"1,045,359","498,435","546,924"
Washington Commanders,2015,"1,196,087","609,672","586,415"
Arizona Cardinals,2016,"1,083,135","518,652","564,483"
Atlanta Falcons,2016,"1,116,392","559,998","556,394"
Baltimore Ravens,2016,"1,134,133","568,823","565,310"
Buffalo Bills,2016,"1,098,702","548,073","550,629"
Carolina Panthers,2016,"1,159,680","590,343","569,337"
Chicago Bears,2016,"1,060,607","482,951","577,656"
Cincinnati Bengals,2016,"1,088,770","508,071","580,699"
Cleveland Browns,2016,"1,044,825","514,489","530,336"
Dallas Cowboys,2016,"1,322,087","740,318","581,769"
Denver Broncos,2016,"1,133,943","614,193","519,750"
Detroit Lions,2016,"1,075,305","486,342","588,963"
Green Bay Packers,2016,"1,169,215","625,727","543,488"
Houston Texans,2016,"1,132,210","574,947","557,263"
Indianapolis Colts,2016,"1,100,210","524,393","575,817"
Jacksonville Jaguars,2016,"1,031,602","517,172","514,430"
Kansas City Chiefs,2016,"1,115,214","586,624","528,590"
Los Angeles Rams,2016,"1,198,268","665,318","532,950"
Miami Dolphins,2016,"1,073,132","524,101","549,031"
Minnesota Vikings,2016,"1,084,502","534,289","550,213"
New England Patriots,2016,"1,094,772","534,632","560,140"
New Orleans Saints,2016,"1,141,039","584,876","556,163"
New York Giants,2016,"1,217,320","630,315","587,005"
New York Jets,2016,"1,168,377","625,280","543,097"
Las Vegas Raiders,2016,"1,009,172","458,561","550,611"
Philadelphia Eagles,2016,"1,125,298","556,768","568,530"
Pittsburgh Steelers,2016,"1,065,627","514,503","551,124"
Los Angeles Chargers,2016,"998,070","456,197","541,873"
San Francisco 49ers,2016,"1,119,165","561,424","557,741"
Seattle Seahawks,2016,"1,138,809","552,588","586,221"
Tampa Bay Buccaneers,2016,"1,054,600","484,998","569,602"
